Category,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13
Top Quartile,,,,,,,,,,,,,
Capital Calls,-21.14357694,-29.17334686,-18.18703004,-16.17129632,-11.20049097,-6.9067475,-4.0211025,-2.530825,-1.687955,-1.222695,-1.067875,-0.975,0
Distributions,0.094663435,0.66647768,3.841922866,8.449868795,14.49763378,42.64146801,44.88825744,20.05276195,18.41996799,15.91279796,11.93364828,9.22538802,4.708725789
Residual NAV,20.53628037,51.12422066,71.23320805,89.54018175,101.1736133,84.30422739,57.57015146,46.42650889,34.5985966,22.60818217,12.56233349,4.379410709,0
,,,,,,,,,,,,,
Median Quartile,,,,,,,,,,,,,
Capital Calls,-21.14328275,-29.1729833,-18.23117588,-16.17414716,-11.1910735,-6.9067475,-4.0211025,-2.530825,-1.687955,-1.222695,-1.067875,-0.975,0
Distributions,0.093085711,0.642815021,2.458167864,8.246989246,15.05964276,38.28152287,40.08982655,20.28349194,15.80252418,13.05831253,10.25174231,7.710185737,3.888276579
Residual NAV,20.30596489,50.41806235,70.8081914,87.30588008,95.35787825,78.70424303,53.57227601,40.58589331,30.03636913,19.86619688,10.79639321,3.710787666,0
,,,,,,,,,,,,,
Bottom Quartile,,,,,,,,,,,,,
Capital Calls,-21.14300246,-29.17196838,-18.22996608,-16.22530376,-11.18217826,-6.9067475,-4.0211025,-2.530825,-1.687955,-1.222695,-1.067875,-0.975,0
Distributions,0.090719125,0.616457324,2.338779491,6.455304604,12.77723873,18.28074781,35.58758584,33.96579718,15.23688162,12.40025331,8.994677065,4.961302545,3.225444329
Residual NAV,20.06783333,49.26598779,67.72606728,83.25024242,90.53157903,90.29354333,66.61391081,37.95227813,26.33585681,15.85684995,7.661218916,3.116489346,0
